Company Name;Ticker;Exchange;Sector;Industry;Market Cap (mil);s/o;52W High;52W Low;P;EPS0;EPS1;EPS2;RG;PE0;PE1;PE2;EG1;EG2;PEG1;PEG2;52W Range
GENEDX HOLDINGS;WGS;NSDQ;Medical;Medical Services;888,61;26,94;35,76;1,24;32,99;-5,38;-0,75;0,14;-13,69;-6,13;-43,99;235,64;-86%;-119%;0,51;-1,99;2784%
Heritage Media;OLVI;OTC;Computer and Technology;Electronics - Miscellaneous Products;3270,83;623,02;13,37;0,07;5,25;;;;;;;;;;;;19000%
Corbus Pharmaceuticals;CRBP;NSDQ;Medical;Medical - Drugs;602,68;12,04;61,55;3,16;50,04;-10,86;-3,77;-5,26;;-4,61;-13,27;-9,51;-65%;40%;0,2;-0,24;1848%
AST SpaceMobile;ASTS;NSDQ;Computer and Technology;Wireless Equipment;7033,89;269,39;38,6;2,01;26,11;-0,88;-1,03;-0,51;11,45;-29,67;-25,35;-51,2;17%;-50%;-1,49;1,01;1820%
Cipher Mining;CIFR;NSDQ;Business Services;Technology Services;905,23;335,27;6,78;2,28;2,7;-0,22;-0,05;-0,02;4076,56;-12,27;-54;-135;-77%;-60%;0,7;2,25;197%
Soleno Therapeutics;SLNO;NSDQ;Medical;Medical - Drugs;1886,83;38,87;52,35;3,74;48,54;-2,55;-2,28;-2,27;;-19,04;-21,29;-21,38;-11%;0%;2,01;48,75;1300%
Advantage Oil & Gas;AAVVF;OTC;Oils-Energy;Alternative Energy - Other;1110,36;166,97;8,51;5,92;6,65;;;;-45,18;;;;;;;;44%
AvidXchange;AVDX;NSDQ;Computer and Technology;Internet - Software;1648,22;207,85;13,29;7,57;7,93;0,01;0,24;0,34;20,35;793;33,04;23,32;2300%;42%;0,01;0,56;76%
Janux Therapeutics;JANX;NSDQ;Medical;Medical - Biomedical and Genetics;2152,31;52,17;64,78;5,85;41,26;-1,52;-1,17;-1,7;-6,14;-27,14;-35,26;-24,27;-23%;45%;1,53;-0,54;1007%
Longboard Pharmaceuticals;LBPH;NSDQ;Medical;Medical - Biomedical and Genetics;1356,04;38,9;39,5;3,68;34,86;-2,35;-2,12;-2,52;;-14,83;-16,44;-13,83;-10%;19%;1,68;-0,73;973%
Viking Therapeutics;VKTX;NSDQ;Medical;Medical - Biomedical and Genetics;5997,4;110,8;94,5;9,24;54,13;-0,92;-0,99;-1,48;;-58,84;-54,68;-36,57;8%;49%;-7,19;-0,74;923%
Avidity Biosciences;RNA;NSDQ;Medical;Medical - Biomedical and Genetics;4442,56;109,8;48,14;4,87;40,46;-2,67;-2,96;-3,1;3,64;-15,15;-13,67;-13,05;11%;5%;-1,26;-2,76;889%
ARCADIUM LITHM;ALTM;NYSE;Basic Materials;Chemical - Specialty;2430,4;1075,4;20,95;2,26;2,26;1,91;0,22;0,24;8,52;1,18;10,27;9,42;-88%;9%;-0,12;1,04;827%
Perspective Therapeutics;CATX;AMEX;Medical;Medical - Drugs;1028,95;67,43;18,4;2,05;15,26;-1,4;-0,86;-0,99;-86,72;-10,9;-17,74;-15,41;-39%;15%;0,46;-1,02;798%
